s11a,s12a,s21a,s22a,s11m,s12m,s21m,s22m
-0.9131308274441536,-1.181285551436211,-1.181285551436211,-0.9131308274441536,0.031127433248852126,0.007954384280831492,0.007954384280831492,0.031127433248852126
-0.9229551770812358,-1.1944970816132678,-1.1944970816132678,-0.9229551770812358,0.03086494546598881,0.007138719949050772,0.007138719949050772,0.03086494546598881
-0.9323476437787609,-1.1706705162572708,-1.1706705162572708,-0.9323476437787609,0.030908713242100382,0.006768659926889163,0.006768659926889163,0.030908713242100382
-0.9528040132415425,-1.1465071249431211,-1.1465071249431211,-0.9528040132415425,0.031147504533728734,0.006875003747445157,0.006875003747445157,0.031147504533728734
-0.9869911524699259,-1.157179222050786,-1.157179222050786,-0.9869911524699259,0.031194826586572546,0.007359374292576391,0.007359374292576391,0.031194826586572546
-1.0261276195124869,-1.2147253963365596,-1.2147253963365596,-1.0261276195124869,0.03073801155484516,0.008058692331203002,0.008058692331203002,0.03073801155484516
-1.056047945997682,-1.3130797642022136,-1.3130797642022136,-1.056047945997682,0.02979262234453917,0.008824775897168378,0.008824775897168378,0.02979262234453917
-1.0660077927680836,-1.4409159571702184,-1.4409159571702184,-1.0660077927680836,0.028720167102856544,0.009553921456667369,0.009553921456667369,0.028720167102856544
-1.0573472752965116,-1.5880541648597941,-1.5880541648597941,-1.0573472752965116,0.028008238526668963,0.010183672736506647,0.010183672736506647,0.028008238526668963
-1.0453553345071123,-1.7468574692103735,-1.7468574692103735,-1.0453553345071123,0.027914092680025225,0.01068229492398764,0.01068229492398764,0.027914092680025225
-1.0476263237483963,-1.9119528848608325,-1.9119528848608325,-1.0476263237483963,0.028250035058931054,0.011039572917456561,0.011039572917456561,0.028250035058931054
-1.0695876014049297,-2.0796989835972886,-2.0796989835972886,-1.0695876014049297,0.02853462264461386,0.011259639930113948,0.011259639930113948,0.02853462264461386
-1.1021895495444354,-2.24775151020131,-2.24775151020131,-1.1021895495444354,0.028345888349144758,0.01135509436331985,0.01135509436331985,0.028345888349144758
-1.1286599937614286,-2.4147396186412355,-2.4147396186412355,-1.1286599937614286,0.02758464324927911,0.011341963818823242,0.011341963818823242,0.02758464324927911
-1.133024332248334,-2.5799934899672063,-2.5799934899672063,-1.133024332248334,0.026546658152144118,0.01123554228827407,0.01123554228827407,0.026546658152144118
-1.1102657228324282,-2.743270466660941,-2.743270466660941,-1.1102657228324282,0.025792580239218033,0.011047417569951602,0.011047417569951602,0.025792580239218033
