s11a,s12a,s21a,s22a,s11m,s12m,s21m,s22m
-0.9136455207398712,0.896144682593272,0.896144682593272,-0.9136455207398712,0.031074166755780185,0.007940272670001188,0.007940272670001188,0.031074166755780185
-0.9229071382432541,0.741635168601299,0.741635168601299,-0.9229071382432541,0.03080844864062051,0.0075350470866861925,0.0075350470866861925,0.03080844864062051
-0.9317077860899027,0.6046233897260296,0.6046233897260296,-0.9317077860899027,0.030854321326194405,0.007283040275893523,0.007283040275893523,0.030854321326194405
-0.951617678871651,0.477628634487253,0.477628634487253,-0.951617678871651,0.03110096272585339,0.007220836506421153,0.007220836506421153,0.03110096272585339
-0.98536143073334,0.3498512587235295,0.3498512587235295,-0.98536143073334,0.031161691134471675,0.007363100361503366,0.007363100361503366,0.031161691134471675
-1.0241994534748504,0.21068680289407365,0.21068680289407365,-1.0241994534748504,0.030722983744775858,0.007697509020889578,0.007697509020889578,0.030722983744775858
-1.0540294643963841,0.05311248176864242,0.05311248176864242,-1.0540294643963841,0.029798535103037448,0.00818954270793379,0.00818954270793379,0.029798535103037448
-1.0641928223012926,-0.12533396647385775,-0.12533396647385775,-1.0641928223012926,0.028746388831841625,0.00879320260060375,0.00879320260060375,0.028746388831841625
-1.0560482987140074,-0.32370144815256807,-0.32370144815256807,-1.0560482987140074,0.028049409616530723,0.009460800388328697,0.009460800388328697,0.028049409616530723
-1.04472938647082,-0.5393069963287539,-0.5393069963287539,-1.04472938647082,0.027961384664449706,0.010148563724719107,0.010148563724719107,0.027961384664449706
-1.0475894663078078,-0.7689613843787563,-0.7689613843787563,-1.0475894663078078,0.028295200707439704,0.010818649465601928,0.010818649465601928,0.028295200707439704
-1.0699354246225614,-1.009597466355842,-1.009597466355842,-1.0699354246225614,0.02857320271219029,0.011439265851748833,0.011439265851748833,0.02857320271219029
-1.1027507348145933,-1.2584961013984672,-1.2584961013984672,-1.1027507348145933,0.0283772370598144,0.011984152857013292,0.011984152857013292,0.0283772370598144
