s11a,s12a,s21a,s22a,s11m,s12m,s21m,s22m
-0.9118841091187578,-0.3475403660527851,-0.3475403660527851,-0.9118841091187578,0.031127255809821102,0.0037496367003033034,0.0037496367003033034,0.031127255809821102
-0.9214653623448499,0.01498433202039293,0.01498433202039293,-0.9214653623448499,0.030873130075133665,0.0037549699501195,0.0037549699501195,0.030873130075133665
-0.9307094590764574,0.260178690857299,0.260178690857299,-0.9307094590764574,0.030929111128302694,0.0046404413457856826,0.0046404413457856826,0.030929111128302694
-0.9511575415874898,0.34374020216542167,0.34374020216542167,-0.9511575415874898,0.031182218068586235,0.00597498929663203,0.00597498929663203,0.031182218068586235
-0.9854694398494723,0.33060880065991344,0.33060880065991344,-0.9854694398494723,0.031243868977427636,0.0074772801546198284,0.0074772801546198284,0.031243868977427636
-1.0248501313918037,0.2660193619970932,0.2660193619970932,-1.0248501313918037,0.03079980718095999,0.00903055632994429,0.00903055632994429,0.03079980718095999
-1.0551448905047418,0.1721039220238192,0.1721039220238192,-1.0551448905047418,0.02986437985431344,0.010588851343517447,0.010588851343517447,0.02986437985431344
-1.0656204992380927,0.059312816075634274,0.059312816075634274,-1.0656204992380927,0.02879791031552128,0.01213061036644371,0.01213061036644371,0.02879791031552128
-1.0575647640370591,-0.06735102303450022,-0.06735102303450022,-1.0575647640370591,0.028087182595444734,0.013637482686860053,0.013637482686860053,0.028087182595444734
-1.0461357138258907,-0.20533871189979164,-0.20533871189979164,-1.0461357138258907,0.027990131669052235,0.015083743126877052,0.015083743126877052,0.027990131669052235
-1.048829572621156,-0.3530613125530503,-0.3530613125530503,-1.048829572621156,0.028321427824485396,0.016432129937608432,0.016432129937608432,0.028321427824485396
-1.0711019811294198,-0.5091433220873106,-0.5091433220873106,-1.0711019811294198,0.028601964704757385,0.017634677590579597,0.017634677590579597,0.028601964704757385
-1.1040152692244443,-0.6720869745794609,-0.6720869745794609,-1.1040152692244443,0.028410439925931265,0.01863722942479256,0.01863722942479256,0.028410439925931265
-1.1309189873761785,-0.8401598972782179,-0.8401598972782179,-1.1309189873761785,0.02764629428416783,0.01938600210786122,0.01938600210786122,0.02764629428416783
-1.1359119399079929,-1.0113855950699817,-1.0113855950699817,-1.1359119399079929,0.02660217029894907,0.019834557379914332,0.019834557379914332,0.02660217029894907
-1.1139098500713105,-1.1835600676784481,-1.1835600676784481,-1.1139098500713105,0.025834908877370912,0.019949849879296704,0.019949849879296704,0.025834908877370912
-1.078970292134804,-1.3542485075520276,-1.3542485075520276,-1.078970292134804,0.02582535990252777,0.019716506071816624,0.019716506071816624,0.02582535990252777
-1.057089521905527,-1.5207329576991624,-1.5207329576991624,-1.057089521905527,0.026598332756078633,0.019139021519589107,0.019139021519589107,0.026598332756078633
-1.0647764228670586,-1.6798860307626617,-1.6798860307626617,-1.0647764228670586,0.027680416582294923,0.018242077496863927,0.018242077496863927,0.027680416582294923
-1.098973058009778,-1.8279407401855394,-1.8279407401855394,-1.098973058009778,0.028439634258455436,0.017069648848148072,0.017069648848148072,0.028439634258455436
-1.1433941737015254,-1.9601203822753843,-1.9601203822753843,-1.1433941737015254,0.02844948995576441,0.015684011140305352,0.015684011140305352,0.02844948995576441
-1.1770427027856247,-2.0701137742686475,-2.0701137742686475,-1.1770427027856247,0.027680897018152226,0.01416617954890128,0.01416617954890128,0.027680897018152226
-1.181052900657819,-2.149532022401228,-2.149532022401228,-1.181052900657819,0.026540834151800283,0.012619610572511644,0.012619610572511644,0.026540834151800283
-1.1490854910897113,-2.1880647405447826,-2.1880647405447826,-1.1490854910897113,0.025744239172259986,0.011178271861328503,0.011178271861328503,0.025744239172259986
-1.0989929921779389,-2.176557688757803,-2.176557688757803,-1.0989929921779389,0.0259326120125804,0.010014935713214757,0.010014935713214757,0.0259326120125804
-1.0649357353876199,-2.116454469604197,-2.116454469604197,-1.0649357353876199,0.02718350688827852,0.009329366854790274,0.009329366854790274,0.02718350688827852
-1.0685004813068433,-2.0316713081707385,-2.0316713081707385,-1.0685004813068433,0.028927764975047923,0.009281709230480788,0.009281709230480788,0.028927764975047923
-1.1063350281291373,-1.9620830864615668,-1.9620830864615668,-1.1063350281291373,0.030371745391920186,0.009893078687947098,0.009893078687947098,0.030371745391920186
-1.1600650267843706,-1.9361183378144373,-1.9361183378144373,-1.1600650267843706,0.030937037898451886,0.011031585675540936,0.011031585675540936,0.030937037898451886
-1.2065600542336423,-1.9587068518284934,-1.9587068518284934,-1.2065600542336423,0.03048510185300702,0.012504381815437764,0.012504381815437764,0.03048510185300702
-1.2237212573898406,-2.021524891582992,-2.021524891582992,-1.2237212573898406,0.029393108017735738,0.014137958726388847,0.014137958726388847,0.029393108017735738
-1.1996214761272423,-2.113806524909507,-2.113806524909507,-1.1996214761272423,0.028488369180641914,0.015800676596852022,0.015800676596852022,0.028488369180641914
-1.1477964520614534,-2.2264952894276107,-2.2264952894276107,-1.1477964520614534,0.028688963735002033,0.01739793916507982,0.01739793916507982,0.028688963735002033
-1.1068745267198996,-2.352808470094553,-2.352808470094553,-1.1068745267198996,0.030347075830710456,0.0188641329228682,0.0188641329228682,0.030347075830710456
-1.1082191256725211,-2.487826092043735,-2.487826092043735,-1.1082191256725211,0.03291835425920454,0.02015737123478435,0.02015737123478435,0.03291835425920454
-1.154068756702341,-2.628034317924027,-2.628034317924027,-1.154068756702341,0.03537777001103307,0.021256272788011857,0.021256272788011857,0.03537777001103307
-1.2271178031435863,-2.7710197190142485,-2.7710197190142485,-1.2271178031435863,0.036813110904173364,0.02215694577827561,0.02215694577827561,0.036813110904173364
-1.3034612855503669,-2.915297504751635,-2.915297504751635,-1.3034612855503669,0.036759685511624327,0.022868812100550535,0.022868812100550535,0.036759685511624327
-1.3572072845611007,-3.060208641627586,-3.060208641627586,-1.3572072845611007,0.035355578859707505,0.02340868724626958,0.02340868724626958,0.035355578859707505
-1.364266851563412,-3.2058164894158523,-3.2058164894158523,-1.364266851563412,0.03341863581050662,0.02379342460032024,0.02379342460032024,0.03341863581050662
-1.3174446566083906,-3.3527483811021543,-3.3527483811021543,-1.3174446566083906,0.0323181186880685,0.024032319645430022,0.024032319645430022,0.0323181186880685
-1.2494250008806116,-3.5019608790022474,-3.5019608790022474,-1.2494250008806116,0.0332714696106796,0.0241210703547023,0.0241210703547023,0.0332714696106796
-1.2162002371530616,-3.654451349898362,-3.654451349898362,-1.2162002371530616,0.036289363450090144,0.02403905609797214,0.02403905609797214,0.036289363450090144
-1.2439833170819008,-3.8109710126580914,-3.8109710126580914,-1.2439833170819008,0.04011858403343024,0.023750907245991427,0.023750907245991427,0.04011858403343024
-1.321244833652575,-3.971794742973129,-3.971794742973129,-1.321244833652575,0.043199338907037935,0.02321210275238317,0.02321210275238317,0.043199338907037935
-1.4219704099043717,-4.1365701255910015,-4.1365701255910015,-1.4219704099043717,0.044391548410883074,0.022377237430338568,0.022377237430338568,0.044391548410883074
-1.5168132317703171,-4.30422147116139,-4.30422147116139,-1.5168132317703171,0.043268970148793134,0.02120909070760804,0.02120909070760804,0.043268970148793134
-1.5729130921296104,-4.4728402245661325,-4.4728402245661325,-1.5729130921296104,0.04030210809863317,0.01968676762541928,0.01968676762541928,0.04030210809863317
-1.5575203630094985,-4.639443287647863,-4.639443287647863,-1.5575203630094985,0.037036566946735905,0.01781176910108374,0.01781176910108374,0.037036566946735905
-1.4691332620041908,-4.799375248399933,-4.799375248399933,-1.4691332620041908,0.03586953229543378,0.015611710860180462,0.015611710860180462,0.03586953229543378
