s11a,s12a,s21a,s22a,s11m,s12m,s21m,s22m
-0.9145035029435116,0.7341398246627072,0.7341398246627072,-0.9145035029435116,0.031071088579225355,0.007181103543778004,0.007181103543778004,0.031071088579225355
-0.9237482793552898,0.6727099232450579,0.6727099232450579,-0.9237482793552898,0.03079530866508015,0.006462084501626823,0.006462084501626823,0.03079530866508015
-0.9323934130200715,0.6517588130355408,0.6517588130355408,-0.9323934130200715,0.03083211141246376,0.0060772412105332555,0.0060772412105332555,0.03083211141246376
-0.9520646431505478,0.6446564238728542,0.6446564238728542,-0.9520646431505478,0.03107206132997397,0.006094477540139533,0.006094477540139533,0.03107206132997397
-0.98553471559999,0.615943602072612,0.615943602072612,-0.98553471559999,0.031128518548378337,0.006492530188711801,0.006492530188711801,0.031128518548378337
-1.0240643765554767,0.5444325301665216,0.5444325301665216,-1.0240643765554767,0.03068772738930182,0.007172562487794607,0.007172562487794607,0.03068772738930182
-1.053524889384228,0.4286140439025228,0.4286140439025228,-1.053524889384228,0.02976390718517336,0.0080146008237497,0.0080146008237497,0.02976390718517336
-1.0632589843522537,0.27670210919204596,0.27670210919204596,-1.0632589843522537,0.028716457194514256,0.008915920269387414,0.008915920269387414,0.028716457194514256
-1.0547078611398517,0.09827972588861503,0.09827972588861503,-1.0547078611398517,0.02802931694312471,0.009798934234974308,0.009798934234974308,0.02802931694312471
-1.043140719033288,-0.09870834251288939,-0.09870834251288939,-1.043140719033288,0.027955462947592102,0.01060662460017072,0.01060662460017072,0.027955462947592102
-1.0459783965228868,-0.3082766924689035,-0.3082766924689035,-1.0459783965228868,0.028305082915302652,0.011296966468693666,0.011296966468693666,0.028305082915302652
-1.0684887162899575,-0.5259718295782605,-0.5259718295782605,-1.0684887162899575,0.02859784992335951,0.011839187525240985,0.011839187525240985,0.02859784992335951
-1.1015968757069021,-0.7483880876130843,-0.7483880876130843,-1.1015968757069021,0.028414193563212217,0.012211700833133969,0.012211700833133969,0.028414193563212217
-1.1286149841640676,-0.9727840128866331,-0.9727840128866331,-1.1286149841640676,0.02765629413414987,0.012401085743300271,0.012401085743300271,0.02765629413414987
-1.1336857059317296,-1.1967993018902752,-1.1967993018902752,-1.1336857059317296,0.0266190070240758,0.012401616994023172,0.012401616994023172,0.0266190070240758
-1.1118204427638179,-1.4182398588702292,-1.4182398588702292,-1.1118204427638179,0.025859811567600578,0.012215009117098538,0.012215009117098538,0.025859811567600578
-1.0771456542974038,-1.634896919541214,-1.634896919541214,-1.0771456542974038,0.02585820701560661,0.011850177969551252,0.011850177969551252,0.02585820701560661
-1.0556101862740994,-1.8443685955933065,-1.8443685955933065,-1.0556101862740994,0.026636913947087292,0.011322943588380267,0.011322943588380267,0.026636913947087292
-1.0636131511135074,-2.043852798116288,-2.043852798116288,-1.0636131511135074,0.02772167241536777,0.010655723981807816,0.010655723981807816,0.02772167241536777
-1.0980378990266895,-2.229880448835801,-2.229880448835801,-1.0980378990266895,0.028481168114414004,0.009877402312674428,0.009877402312674428,0.028481168114414004
-1.1426049886528695,-2.3979664199295323,-2.3979664199295323,-1.1426049886528695,0.028490149768769277,0.009023696799796461,0.009023696799796461,0.028490149768769277
-1.1763550784326198,-2.542206538073635,-2.542206538073635,-1.1763550784326198,0.02772068175102552,0.008138520334363417,0.008138520334363417,0.02772068175102552
-1.1804744079761982,-2.6550457410022155,-2.6550457410022155,-1.1804744079761982,0.026580443238085245,0.007276866236668089,0.007276866236668089,0.026580443238085245
-1.1486689713759726,-2.728020076469143,-2.728020076469143,-1.1486689713759726,0.025784312380858668,0.006509108319518,0.006509108319518,0.025784312380858668
-1.0987786070220178,-2.7553580176935277,-2.7553580176935277,-1.0987786070220178,0.025973064687779483,0.0059235511853639854,0.0059235511853639854,0.025973064687779483
-1.064884311335587,-2.7421134654345245,-2.7421134654345245,-1.064884311335587,0.02722381554387394,0.005617068789208698,0.005617068789208698,0.02722381554387394
-1.0685178374101727,-2.711333563496549,-2.711333563496549,-1.0685178374101727,0.02896790759599011,0.00566215724268515,0.00566215724268515,0.02896790759599011
-1.1063387571682402,-2.695936864558815,-2.695936864558815,-1.1063387571682402,0.030412690329465936,0.006067185641943922,0.006067185641943922,0.030412690329465936
-1.1600176015515868,-2.718656236944091,-2.718656236944091,-1.1600176015515868,0.030980763589741524,0.006775709831449039,0.006775709831449039,0.030980763589741524
-1.2064902892977525,-2.784455360459465,-2.784455360459465,-1.2064902892977525,0.030534411745088523,0.007705023649203486,0.007705023649203486,0.030534411745088523
-1.2237674743914586,-2.8878701977264725,-2.8878701977264725,-1.2237674743914586,0.029450881279492854,0.008778358984774847,0.008778358984774847,0.029450881279492854
-1.2000649318620316,-3.02096852367368,-3.02096852367368,-1.2000649318620316,0.02855553372021656,0.009933755026960752,0.009933755026960752,0.02855553372021656
-1.1489418918461223,-3.176781067100949,-3.176781067100949,-1.1489418918461223,0.028761849286134508,0.011120949848949213,0.011120949848949213,0.028761849286134508
-1.1087862415475072,-3.3499607712035973,-3.3499607712035973,-1.1087862415475072,0.030417837215703746,0.012296503256080069,0.012296503256080069,0.030417837215703746
-1.1107095438048264,-3.5365267078316918,-3.5365267078316918,-1.1107095438048264,0.03297901421670571,0.013420535922478933,0.013420535922478933,0.03297901421670571
-1.1569247321162386,-3.733468369362684,-3.733468369362684,-1.1569247321162386,0.03542251014098122,0.01445535047281801,0.01445535047281801,0.03542251014098122
-1.2302065894725542,-3.9384222540338594,-3.9384222540338594,-1.2302065894725542,0.03683770350832058,0.015365441802332036,0.015365441802332036,0.03683770350832058
-1.3066980724060333,-4.149444396764647,-4.149444396764647,-1.3066980724060333,0.03676054227785137,0.016118374846768955,0.016118374846768955,0.03676054227785137
-1.3604689552911289,-4.364857549241258,-4.364857549241258,-1.3604689552911289,0.035329652147709605,0.016686107665921858,0.016686107665921858,0.035329652147709605
-1.3672757150729484,-4.583148459675013,-4.583148459675013,-1.3672757150729484,0.033364933187777966,0.017046424185647193,0.017046424185647193,0.033364933187777966
-1.3197416628670906,-4.8028959048871265,-4.8028959048871265,-1.3197416628670906,0.032241449230754886,0.017184208044039806,0.017184208044039806,0.032241449230754886
-1.2507161008280638,-5.022714976213173,-5.022714976213173,-1.2507161008280638,0.03318437289969422,0.017092357699222068,0.017092357699222068,0.03318437289969422
-1.216709285446791,-5.241206191043472,-5.241206191043472,-1.216709285446791,0.03620500283940347,0.016772225585242276,0.016772225585242276,0.03620500283940347
-1.2441388487332767,-5.456899526065873,-5.456899526065873,-1.2441388487332767,0.040042782382751864,0.01623355485162522,0.01623355485162522,0.040042782382751864
-1.3213309618537146,-5.668183496972889,-5.668183496972889,-1.3213309618537146,0.04313124894709703,0.015493969329145305,0.015493969329145305,0.04313124894709703
-1.422103456061019,-5.873207310849451,-5.873207310849451,-1.422103456061019,0.04432722258176025,0.014578134165670194,0.014578134165670194,0.04432722258176025
-1.5169928460522726,-6.069738644960785,-6.069738644960785,-1.5169928460522726,0.04320361541658892,0.013516753080183347,0.013516753080183347,0.04320361541658892
